description,sku,price,retail,uri,img
HUEVOS PARDOS TOTTUS - BANDEJA 15 UN,tottus-huevos-pardos-40293807/p/,s/ 5.99,tottus,https://www.tottus.com.pe/tottus-huevos-pardos-40293807/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-D5I_1C84.jpg
Arroz Extra Costeño Bolsa 750 g,11386,S/. 3.70,metro,https://www.metro.pe/arroz-extra-costeno-bolsa-750-g-11386/p,https://wongfood.vteximg.com.br/arquivos/ids/254548-1000-1000/Arroz-Extra-Costeño-Bolsa-750-g-1-4456.jpg?v=636765120213670000
Arroz Extra Costeño Bolsa 750 g,11386,S/. 3.90,wong,https://www.wong.pe/arroz-extra-costeno-bolsa-750-g-11386/p,https://wongfood.vteximg.com.br/arquivos/ids/254548-1000-1000/Arroz-Extra-Costeño-Bolsa-750-g-1-4456.jpg?v=636765120213670000
Arroz Extra COSTEÑO Bolsa 750g,433778,S/ 3.70,plaza_vea,https://www.plazavea.com.pe/arroz-extra-costeno-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Arroz Extra COSTEÑO Bolsa 750g,433778,S/ 3.70,vivanda,https://www.vivanda.com.pe/arroz-extra-costeno-bolsa-750g/p,https://vivanda.vteximg.com.br/arquivos/ids/164833-618-618/433778.jpg?v=636137787630200000
ARROZ EXTRA COSTENO - BOLSA 750 GR,costeno-arroz-extra-10472603/p/,s/ 3.49,tottus,https://www.tottus.com.pe/costeno-arroz-extra-10472603/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/10472603-xmd_BBN3.jpg
Filete de Pechuga de Pollo x kg,227882,S/. 23.99,wong,https://www.wong.pe/filete-de-pechuga-de-pollo-x-kg-227882/p,https://wongfood.vteximg.com.br/arquivos/ids/267579-1000-1000/frontal-2619.jpg?v=636826752241400000
Filete de Pechuga de Pollo x kg,227882,S/. 23.89,metro,https://www.metro.pe/filete-de-pechuga-de-pollo-x-kg-227882/p,https://wongfood.vteximg.com.br/arquivos/ids/267579-1000-1000/frontal-2619.jpg?v=636826752241400000
Filete de Pechuga de Pollo x Kg,20110126,S/ 19.90,plaza_vea,https://www.plazavea.com.pe/filete-de-pechuga-de-pollo-x-kg/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Filete de Pechuga de Pollo x Kg,20110126,S/ 23.99,vivanda,https://www.vivanda.com.pe/filete-de-pechuga-de-pollo-x-kg/p,https://vivanda.vteximg.com.br/arquivos/ids/185945-618-618/20110126.jpg?v=637298182875700000
FILETE DE PECHUGA DE POLLO TOTTUS - Venta por peso,tottus-filete-de-pechuga-pollo-40433295/p/,s/ 23.99 KG,tottus,https://www.tottus.com.pe/tottus-filete-de-pechuga-pollo-40433295/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-4NbBdIcL.jpg
Manzana Roja Importada x kg,67289,S/. 6.99,wong,https://www.wong.pe/manzana-roja-importada-x-kg-67289/p,https://wongfood.vteximg.com.br/arquivos/ids/159290-1000-1000/Manzana-Roja-Importada-Wong-67289.jpg?v=636089433532000000
Manzana Roja Importada x kg,67289,S/. 6.99,metro,https://www.metro.pe/manzana-roja-importada-x-kg-67289/p,https://wongfood.vteximg.com.br/arquivos/ids/159290-1000-1000/Manzana-Roja-Importada-Wong-67289.jpg?v=636089433532000000
Manzana Roja Importada x Kg,20064830,S/ 6.99,plaza_vea,https://www.plazavea.com.pe/manzana-roja-importada-x-kg/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Manzana Roja Importada x Kg,20064830,S/ 5.90,vivanda,https://www.vivanda.com.pe/manzana-roja-importada-x-kg/p,https://vivanda.vteximg.com.br/arquivos/ids/166023-618-618/20064830.jpg?v=636137810132000000
MANZANA ROJA IMPORTADA PREMIUM FRUTAS - 1KG ES APROX. 5UN,frutas-manzana-roja-importada-premium-40632061/p/,s/ 6.99 KG,tottus,https://www.tottus.com.pe/frutas-manzana-roja-importada-premium-40632061/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-kAe6of5K.jpg
Tomate Italiano x kg,4044,S/. 3.49,wong,https://www.wong.pe/tomate-italiano-x-kg-4044/p,https://wongfood.vteximg.com.br/arquivos/ids/165228-1000-1000/frontal-3108.jpg?v=636415350885670000
Tomate Italiano Siembra Dorada Metro x kg,393213,S/. 3.29,metro,https://www.metro.pe/tomate-italiano-siembra-dorada-metro-x-kg-393213/p,https://wongfood.vteximg.com.br/arquivos/ids/236327-1000-1000/Tomate-Italiano-Siembra-Dorada-Metro-x-kg-2-214498.jpg?v=636689102240770000
Tomate Italiano BELL'S Bolsa 1Kg,20198834,S/ 4.90,plaza_vea,https://www.plazavea.com.pe/tomate-italiano-bells-bolsa-1kg/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Tomate Italiano BELL'S Bolsa 1Kg,20198834,S/ 3.10,vivanda,https://www.vivanda.com.pe/tomate-italiano-bells-bolsa-1kg/p,https://vivanda.vteximg.com.br/arquivos/ids/208548-618-618/20198834.jpg?v=637372566928100000
